age;name;value
"0 0 år";"545 Aabenraa";203
"0 0 år";"550 Ribe Amt";2422
"0 0 år";"551 Billund";99
"0 0 år";"553 Blåbjerg";62
"0 0 år";"555 Blåvandshuk";53
"0 0 år";"557 Bramming";160
"0 0 år";"559 Brørup";90
"0 0 år";"561 Esbjerg";842
"0 0 år";"563 Fanø";22
"0 0 år";"565 Grindsted";210
"0 0 år";"567 Helle";104
"0 0 år";"569 Holsted";70
"0 0 år";"571 Ribe";179
"0 0 år";"573 Varde";222
"0 0 år";"575 Vejen";193
"0 0 år";"577 Ølgod";116
"0 0 år";"600 Vejle Amt";4364
"0 0 år";"601 Brædstrup";116
"0 0 år";"603 Børkop";157
"0 0 år";"605 Egtved";204
"0 0 år";"607 Fredericia";539
"0 0 år";"609 Gedved";138
"0 0 år";"611 Give";160
"0 0 år";"613 Hedensted";223
"0 0 år";"615 Horsens";727
"0 0 år";"617 Jelling";93
"0 0 år";"619 Juelsminde";173
"0 0 år";"621 Kolding";768
"0 0 år";"623 Lunderskov";66
"0 0 år";"625 Nørre Snede";75
"0 0 år";"627 Tørring-Uldum";172
"0 0 år";"629 Vamdrup";100
"0 0 år";"631 Vejle";653
"0 0 år";"650 Ringkøbing Amt";3368
"0 0 år";"651 Aulum-Haderup";96
"0 0 år";"653 Brande";131
"0 0 år";"655 Egvad";118
"0 0 år";"657 Herning";787
"0 0 år";"659 Holmsland";61
"0 0 år";"661 Holstebro";524
"0 0 år";"663 Ikast";269
"0 0 år";"665 Lemvig";184
"0 0 år";"667 Ringkøbing";214
"0 0 år";"669 Skjern";165
"0 0 år";"671 Struer";199
"0 0 år";"673 Thyborøn-Harboøre";53
"0 0 år";"675 Thyholm";35
"0 0 år";"677 Trehøje";114
"0 0 år";"679 Ulfborg-Vemb";86
"0 0 år";"681 Videbæk";152
"0 0 år";"683 Vinderup";89
"0 0 år";"685 Åskov";91
"0 0 år";"700 Århus Amt";8241
"0 0 år";"701 Ebeltoft";127
"0 0 år";"703 Galten";167
"0 0 år";"705 Gjern";118
"0 0 år";"707 Grenaa";180
"0 0 år";"709 Hadsten";155
"0 0 år";"711 Hammel";140
"0 0 år";"713 Hinnerup";174
"0 0 år";"715 Hørning";128
"0 0 år";"717 Langå";109
"0 0 år";"719 Mariager";89
"0 0 år";"721 Midtdjurs";82
"0 0 år";"723 Nørhald";125
"0 0 år";"725 Nørre Djurs";75
"0 0 år";"727 Odder";273
"0 0 år";"729 Purhus";118
"0 0 år";"731 Randers";678
"0 0 år";"733 Rosenholm";148
"0 0 år";"735 Rougsø";103
"0 0 år";"737 Ry";161
"0 0 år";"739 Rønde";68
"0 0 år";"741 Samsø";25
"0 0 år";"743 Silkeborg";695
"0 0 år";"745 Skanderborg";303
"0 0 år";"747 Sønderhald";87
"0 0 år";"749 Them";91
"0 0 år";"751 Århus";3822
"0 0 år";"760 Viborg Amt";2683
"0 0 år";"761 Bjerringbro";151
"0 0 år";"763 Fjends";113
"0 0 år";"765 Hanstholm";53
"0 0 år";"767 Hvorslev";85
"0 0 år";"769 Karup";75
"0 0 år";"771 Kjellerup";183
"0 0 år";"773 Morsø";215
"0 0 år";"775 Møldrup";92
"0 0 år";"777 Sallingsund";50
"0 0 år";"779 Skive";309
"0 0 år";"781 Spøttrup";84
"0 0 år";"783 Sundsøre";71
"0 0 år";"785 Sydthy";121
"0 0 år";"787 Thisted";328
"0 0 år";"789 Tjele";110
"0 0 år";"791 Viborg";547
"0 0 år";"793 Aalestrup";96
"0 0 år";"800 Nordjyllands Amt";5719
"0 0 år";"801 Arden";110
"0 0 år";"803 Brovst";99
"0 0 år";"805 Brønderslev";246
"0 0 år";"807 Dronninglund";182
"0 0 år";"809 Farsø";96
"0 0 år";"811 Fjerritslev";92
"0 0 år";"813 Frederikshavn";339
"0 0 år";"815 Hadsund";114
"0 0 år";"817 Hals";147
"0 0 år";"819 Hirtshals";131
"0 0 år";"821 Hjørring";423
"0 0 år";"823 Hobro";150
"0 0 år";"825 Læsø";17
"0 0 år";"827 Løgstør";111
"0 0 år";"829 Løkken-Vrå";108
"0 0 år";"831 Nibe";125
"0 0 år";"833 Nørager";80
"0 0 år";"835 Pandrup";123
"0 0 år";"837 Sejlflod";125
"0 0 år";"839 Sindal";109
"0 0 år";"841 Skagen";104
"0 0 år";"843 Skørping";126
"0 0 år";"845 Støvring";188
"0 0 år";"847 Sæby";154
"0 0 år";"849 Aabybro";139
"0 0 år";"851 Aalborg";1932
"0 0 år";"861 Aars";149
